ApiRequestVO(id=10, productVO=ProductVO(id=10, name=item10, price=10000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=9, productVO=ProductVO(id=9, name=item9, price=9000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=8, productVO=ProductVO(id=8, name=item8, price=8000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=7, productVO=ProductVO(id=7, name=item7, price=7000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=6, productVO=ProductVO(id=6, name=item6, price=6000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=5, productVO=ProductVO(id=5, name=item5, price=5000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=4, productVO=ProductVO(id=4, name=item4, price=4000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=3, productVO=ProductVO(id=3, name=item3, price=3000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=2, productVO=ProductVO(id=2, name=item2, price=2000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=1, productVO=ProductVO(id=1, name=item1, price=1000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=10, productVO=ProductVO(id=10, name=item10, price=10000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=9, productVO=ProductVO(id=9, name=item9, price=9000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=8, productVO=ProductVO(id=8, name=item8, price=8000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=7, productVO=ProductVO(id=7, name=item7, price=7000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
ApiRequestVO(id=6, productVO=ProductVO(id=6, name=item6, price=6000, type=1), apiResponseVO=ApiResponseVO(status=200, message=product1 was successfully processed))
